hornet,player,all,red;white,-1,-1
garmond and zaza,npc;boss,greymoor;sinners road;the marrow;mosshome;far fields;shellwood;blasted steps;choral chambers;high halls;songclave,green;gray,460,1
lace,npc;boss,deep docks;the cradle,white;black,850,2
lost lace,boss,the abyss,black,1800,1
pinstress,npc;boss,mount fay;blasted steps,gray;blue,910,1
second sentinel,npc;boss,cogwork core;choral chambers;high halls,gold;gray;white,800,1
alchemist zylotol,npc,wormways,white;blue,-1,-1
ballow,npc,deep docks,brown;gray,-1,-1
bell hermit,npc,bellhart,brown,-1,-1
caretaker,npc,songclave;ruined chapel,white;black;gold,-1,-1
chapel maid,npc,ruined chapel;ruined chapel,brown;black,-1,-1
conductor ballador,npc,high halls,???,-1,-1
courier pill,npc,bellhart,green,-1,-1
courier tipp,npc,bellhart,green,-1,-1
creige,npc,halfway home,gray;white,-1,-1
crull and benjin,npc,sinners road,brown;gray,-1,-1
eva,npc,weavenest atla,???,-1,-1
fearful pilgrim,npc,bone bottom,gray;white,-1,-1
fleamaster mooshka,npc,the marrow;greymoor;blasted steps;putrified ducts,beige;gray,-1,-1
flick the fixer,npc,bone bottom,gray;white,-1,-1
gilly,npc,deep docks;hunters march;far fields,green;gray,-1,-1
green prince,npc,lost verdania;choral chambers;sinners road;cogwork core,green,-1,-1
greyroot,npc,shellwood,gray;black,-1,-1
grishkin,npc,the marrow;greymoor;blasted steps;putrified ducts,gray;beige,-1,-1
huntress,npc,putrified ducts,black;white,-1,-1
kratt,npc,the marrow;greymoor;blasted steps;putrified ducts,gray;beige,-1,-1
loam,npc,underworks,gray;white;black,-1,-1
loddie,npc,the marrow,red;gray;pink,-1,-1
loyal mergwin,npc,choral chambers,gray;white,-1,-1
lumble the lucky,npc,blasted steps,gray;white,-1,-1
mask maker,npc,mount fay,blue;gray;black,-1,-1
mister mushroom,npc,moss grotto;bone bottom;far fields;greymoor;the slab;mount fay;the cradle;putrified ducts,blue;gray;orange,-1,-1
moss druid,npc,moss grotto,green;white,-1,-1
nuu,npc,halfway home;the marrow;blasted steps;shellwood;voltnest,pink;gray,-1,-1
old penitent,npc,the slab,black,-1,-1
pavo,npc,bellhart,gray;white;gold,-1,-1
pilby,npc,bone bottom;far fields,gray;white,-1,-1
pinmaster plinney,npc,bellhart;shellwood,gray;white,-1,-1
relic seeker scrounge,npc,bellhart,gray;black;white,-1,-1
seamstress,npc,far fields,red;gray,-1,-1
sherma,npc,the marrow;far fields;bellhart;blasted steps;grand gate;choral chambers;whiteward;songclave,gray;white;gold,-1,-1
snail shamans,npc,moss grotto,black;gray,-1,-1
sprintmaster swift,npc,far fields,blue;gray,-1,-1
styx,npc,sinners road,gray;white,-1,-1
varga,npc,the marrow;greymoor;blasted steps;putrified ducts,beige;gray,-1,-1
vaultkeeper cardinius,npc,whispering vaults,brown;black;gray,-1,-1
weary pilgrim,npc,far fields,gray;white,-1,-1
yarnaby,npc,greymoor,gray,-1,-1
shakra,merchant;boss;npc,the marrow;bone bottom;deep docks;hunters march;far fields;greymoor;bellhart;shellwood;wormways;blasted steps;sinners road;bilewater;sands of karak;mount fay;high halls,gold;white,600,1
forge daughter,merchant,deep docks,brown;gray;black,-1,-1
frey,merchant,bellhart,gray,-1,-1
grindle,merchant,the marrow;choral chambers;the slab;blasted steps,brown;gray,-1,-1
jubilana,merchant,choral chambers;songclave,gray;white,-1,-1
mort,merchant,far fields,black;gray;white,-1,-1
mottled skarr,merchant,hunters march,red;green;gray,-1,-1
pebb,merchant,bone bottom,gray,-1,-1
twelfth architect,merchant,underworks,brown;black,-1,-1
vog,merchant,the marrow;greymoor;blasted steps;putrified ducts,brown;gray;beige,-1,-1
aknid,enemy,bone bottom;mosshome;shellwood,white;green,15,15
alita,enemy,coral tower,red;black,80,6
barnak,enemy,putrified ducts,green;brown;gray,35,8
beastfly,enemy,the marrow;memorium;chapel of the beast,gray;white,15,30
bloatroach,enemy,bilewater,green;gray,80,12
brushflit,enemy,far fields,green,1,15
burning bug,enemy,wisp thicket,red;gray,90,8
caranid,enemy,deep docks;the marrow;far fields;memorium,gray;white,14,25
choir bellbearer,enemy,choral chambers,white;gray;gold,35,25
choir clapper,enemy,high halls,brown;gray;black,280,3
choir elder,enemy,choral chambers,gray;white,45,6
choir flyer,enemy,choral chambers,gray;white,40,20
choir hornhead,enemy,choral chambers,gray;white,55,15
choir pouncer,enemy,choral chambers,gray;white,30,30
choristor,enemy,choral chambers,gray;white;gold,55,25
clawmaiden,enemy,choral chambers;high halls,gray;white;gold,48,10
cloverstag,enemy,lost verdania,green,62,10
cogwork choirbug,enemy,cogwork core,brown,35,20
cogwork clapper,enemy,cogwork core,brown;gray,145,1
cogwork cleanser,enemy,cogwork core,gray;brown,40,12
cogwork crawler,enemy,cogwork core,brown,35,15
